GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.007	0.0	0.000000
0.013	0.0	0.000000
0.020	0.0	0.000000
0.027	0.0	0.000000
0.033	0.0	0.000000
0.040	0.0	0.000000
0.047	0.0	0.000000
0.053	0.0	0.000000
0.060	0.0	0.000000
0.067	0.0	0.000000
0.073	0.0	0.000000
0.080	0.0	0.000000
0.087	0.0	0.000000
0.093	0.0	0.000000
0.100	0.0	0.000000
0.107	0.0	0.000000
0.113	0.0	0.000000
0.120	1.0	0.000013
0.127	2.0	0.000025
0.133	2.0	0.000025
0.140	3.0	0.000038
0.147	5.0	0.000064
0.153	1.0	0.000013
0.160	11.0	0.000140
0.167	3.0	0.000038
0.173	15.0	0.000191
0.180	17.0	0.000216
0.187	172.0	0.002187
0.193	46.0	0.000585
0.200	99.0	0.001259
0.207	119.0	0.001513
0.213	123.0	0.001564
0.220	246.0	0.003127
0.227	268.0	0.003407
0.233	399.0	0.005073
0.240	504.0	0.006407
0.247	1116.0	0.014188
0.253	1490.0	0.018943
0.260	1920.0	0.024409
0.267	2521.0	0.032050
0.273	8285.0	0.105329
0.280	5131.0	0.065231
0.287	8916.0	0.113351
0.293	7035.0	0.089437
0.300	11592.0	0.147371
0.307	13343.0	0.169632
0.313	17970.0	0.228456
0.320	17478.0	0.222201
0.327	22472.0	0.285690
0.333	29521.0	0.375305
0.340	44186.0	0.561744
0.347	59699.0	0.758963
0.353	222507.0	2.828769
0.360	164101.0	2.086243
0.367	65490.0	0.832585
0.373	73838.0	0.938715
0.380	76916.0	0.977846
0.387	373749.0	4.751533
0.393	98270.0	1.249323
0.400	109999.0	1.398436
0.407	114262.0	1.452632
0.413	231500.0	2.943098
0.420	200868.0	2.553668
0.427	141334.0	1.796803
0.433	112827.0	1.434388
0.440	121183.0	1.540620
0.447	133125.0	1.692440
0.453	148209.0	1.884206
0.460	146535.0	1.862924
0.467	162754.0	2.069119
0.473	146911.0	1.867704
0.480	180832.0	2.298947
0.487	202305.0	2.571937
0.493	282887.0	3.596390
0.500	164220.0	2.087756
0.507	170934.0	2.173112
0.513	224040.0	2.848258
0.520	187782.0	2.387304
0.527	224704.0	2.856699
0.533	260289.0	3.309098
0.540	193379.0	2.458460
0.547	206663.0	2.627341
0.553	207687.0	2.640360
0.560	219140.0	2.785963
0.567	228763.0	2.908302
0.573	217179.0	2.761033
0.580	234934.0	2.986755
0.587	224900.0	2.859191
0.593	251117.0	3.192492
0.600	237926.0	3.024793
0.607	221507.0	2.816055
0.613	235976.0	3.000002
0.620	212126.0	2.696793
0.627	231389.0	2.941687
0.633	206488.0	2.625116
0.640	205704.0	2.615149
0.647	238476.0	3.031785
0.653	229047.0	2.911913
0.660	202766.0	2.577798
0.667	188935.0	2.401962
0.673	191230.0	2.431139
0.680	170265.0	2.164607
0.687	183777.0	2.336388
0.693	172075.0	2.187618
0.700	169125.0	2.150114
0.707	145694.0	1.852232
0.713	147388.0	1.873768
0.720	141340.0	1.796879
0.727	119406.0	1.518028
0.733	117142.0	1.489246
0.740	108362.0	1.377624
0.747	98818.0	1.256290
0.753	89022.0	1.131752
0.760	83108.0	1.056566
0.767	80922.0	1.028775
0.773	62570.0	0.795463
0.780	55971.0	0.711569
0.787	43894.0	0.558032
0.793	44782.0	0.569321
0.800	39428.0	0.501255
0.807	41441.0	0.526846
0.813	24913.0	0.316723
0.820	16888.0	0.214700
0.827	17801.0	0.226307
0.833	11156.0	0.141828
0.840	9328.0	0.118588
0.847	6714.0	0.085356
0.853	5291.0	0.067265
0.860	3952.0	0.050242
0.867	1772.0	0.022528
0.873	1284.0	0.016324
0.880	986.0	0.012535
0.887	877.0	0.011149
0.893	425.0	0.005403
0.900	290.0	0.003687
0.907	76.0	0.000966
0.913	55.0	0.000699
0.920	18.0	0.000229
0.927	7.0	0.000089
0.933	1.0	0.000013
0.940	2.0	0.000025
0.947	9.0	0.000114
0.953	0.0	0.000000
0.960	2.0	0.000025
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
