Tag Length (Average tag length = 30.847608)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000001
7	0.000001
8	0.000002
9	0.000006
10	0.000024
11	0.000024
12	0.000022
13	0.000024
14	0.000027
15	0.000026
16	0.000030
17	0.000043
18	0.000028
19	0.000029
20	0.032588
21	0.044147
22	0.064093
23	0.079595
24	0.054410
25	0.047161
26	0.046711
27	0.045184
28	0.050359
29	0.062401
30	0.061389
31	0.050664
32	0.042850
33	0.034970
34	0.030587
35	0.025901
36	0.021465
37	0.018654
38	0.017730
39	0.016173
40	0.014653
41	0.012999
42	0.015946
43	0.013356
44	0.009043
45	0.008778
46	0.008259
47	0.008823
48	0.006970
49	0.006132
50	0.005285
51	0.005683
52	0.005263
53	0.004457
54	0.003519
55	0.004044
56	0.002768
57	0.002303
58	0.001682
59	0.001590
60	0.002548
61	0.003474
62	0.002308
63	0.000769
64	0.000312
65	0.000356
66	0.000530
67	0.000381
68	0.000212
69	0.000049
70	0.000005
71	0.000032
72	0.000002
73	0.000002
74	0.000002
75	0.000003
76	0.000003
77	0.000001
78	0.000009
79	0.000000
80	0.000000
81	0.000001
82	0.000003
83	0.000022
84	0.000014
85	0.000001
86	0.000004
87	0.000015
88	0.000000
89	0.000001
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000054
96	0.000001
97	0.000000
98	0.000000
99	0.000000
100	0.000000
101	0.000011
