GC%	Total	Normalized Fraction(PDF)
0.000	72096.0	0.003674
0.007	107428.0	0.005475
0.013	62198.0	0.003170
0.020	71529.0	0.003645
0.027	84594.0	0.004311
0.033	84293.0	0.004296
0.040	86529.0	0.004410
0.047	89449.0	0.004559
0.053	92535.0	0.004716
0.060	97782.0	0.004983
0.067	99242.0	0.005058
0.073	105645.0	0.005384
0.080	107371.0	0.005472
0.087	114225.0	0.005821
0.093	124781.0	0.006359
0.100	131427.0	0.006698
0.107	143395.0	0.007308
0.113	160707.0	0.008190
0.120	177296.0	0.009036
0.127	203265.0	0.010359
0.133	238310.0	0.012145
0.140	291989.0	0.014881
0.147	368071.0	0.018758
0.153	475808.0	0.024249
0.160	628013.0	0.032006
0.167	844298.0	0.043028
0.173	1153920.0	0.058808
0.180	1589759.0	0.081019
0.187	2190619.0	0.111641
0.193	3009071.0	0.153352
0.200	4059303.0	0.206876
0.207	5425815.0	0.276518
0.213	7144756.0	0.364121
0.220	9244710.0	0.471141
0.227	11775046.0	0.600095
0.233	14708864.0	0.749613
0.240	18063338.0	0.920568
0.247	21764552.0	1.109194
0.253	25801893.0	1.314950
0.260	30110838.0	1.534548
0.267	34606686.0	1.763672
0.273	39126899.0	1.994037
0.280	43692239.0	2.226702
0.287	48113121.0	2.452005
0.293	52397398.0	2.670346
0.300	56471068.0	2.877953
0.307	60317075.0	3.073959
0.313	63949294.0	3.259069
0.320	67253231.0	3.427448
0.327	70258962.0	3.580630
0.333	73126960.0	3.726793
0.340	75857607.0	3.865956
0.347	78397561.0	3.995400
0.353	80692124.0	4.112339
0.360	82641058.0	4.211663
0.367	83915275.0	4.276601
0.373	84330403.0	4.297758
0.380	83733859.0	4.267356
0.387	82442581.0	4.201548
0.393	80264866.0	4.090564
0.400	77450223.0	3.947121
0.407	74253249.0	3.784192
0.413	70866892.0	3.611612
0.420	67353555.0	3.432561
0.427	63976175.0	3.260439
0.433	61109787.0	3.114358
0.440	58744757.0	2.993828
0.447	56778808.0	2.893637
0.453	55064526.0	2.806271
0.460	53618664.0	2.732585
0.467	52396170.0	2.670283
0.473	51474009.0	2.623287
0.480	50762797.0	2.587041
0.487	50212507.0	2.558996
0.493	49668330.0	2.531263
0.500	48870644.0	2.490610
0.507	47633003.0	2.427536
0.513	45755998.0	2.331878
0.520	43144672.0	2.198796
0.527	39899482.0	2.033410
0.533	36230897.0	1.846447
0.540	32446916.0	1.653603
0.547	28748283.0	1.465108
0.553	25350068.0	1.291924
0.560	22307640.0	1.136871
0.567	19644524.0	1.001150
0.573	17329054.0	0.883146
0.580	15291013.0	0.779281
0.587	13570923.0	0.691619
0.593	12114795.0	0.617410
0.600	10872239.0	0.554085
0.607	9783305.0	0.498590
0.613	8818753.0	0.449433
0.620	7957780.0	0.405555
0.627	7172393.0	0.365529
0.633	6430477.0	0.327718
0.640	5736373.0	0.292345
0.647	5101755.0	0.260002
0.653	4514149.0	0.230056
0.660	3967665.0	0.202205
0.667	3467435.0	0.176712
0.673	3021899.0	0.154006
0.680	2618269.0	0.133436
0.687	2268474.0	0.115609
0.693	1972386.0	0.100519
0.700	1717954.0	0.087553
0.707	1496517.0	0.076267
0.713	1311813.0	0.066854
0.720	1149502.0	0.058582
0.727	1009780.0	0.051462
0.733	896914.0	0.045710
0.740	798613.0	0.040700
0.747	719168.0	0.036651
0.753	653239.0	0.033291
0.760	595701.0	0.030359
0.767	553890.0	0.028228
0.773	517555.0	0.026376
0.780	481803.0	0.024554
0.787	448285.0	0.022846
0.793	417812.0	0.021293
0.800	378901.0	0.019310
0.807	329800.0	0.016808
0.813	278405.0	0.014188
0.820	232365.0	0.011842
0.827	190831.0	0.009725
0.833	155958.0	0.007948
0.840	123139.0	0.006276
0.847	96967.0	0.004942
0.853	73177.0	0.003729
0.860	54672.0	0.002786
0.867	41699.0	0.002125
0.873	29422.0	0.001499
0.880	21803.0	0.001111
0.887	15255.0	0.000777
0.893	11648.0	0.000594
0.900	8068.0	0.000411
0.907	5569.0	0.000284
0.913	3882.0	0.000198
0.920	2476.0	0.000126
0.927	1613.0	0.000082
0.933	1097.0	0.000056
0.940	719.0	0.000037
0.947	432.0	0.000022
0.953	211.0	0.000011
0.960	275.0	0.000014
0.967	318.0	0.000016
0.973	220.0	0.000011
0.980	89.0	0.000005
0.987	60.0	0.000003
0.993	55.0	0.000003
1.000	711.0	0.000036
